dataset,id,label,text,title,content,content_hash
water_scam,fake-017,1,Documents filed with offshore registries show an international finance titan has quietly bought the mineral and water extraction rights to every major freshwater lake in North America. The mogul plans to shut off public access and pipe all municipal drinking water directly to private foreign bottling corporations.,Billionaire Purchases All Freshwater Lakes to Create Monopolized Water Pipeline,"Billionaire Purchases All Freshwater Lakes to Create Monopolized Water Pipeline
Documents filed with offshore registries show an international finance titan has quietly bought the mineral and water extraction rights to every major freshwater lake in North America. The mogul plans to shut off public access and pipe all municipal drinking water directly to private foreign bottling corporations.",d2d0cefbbcc8112201c8f1805be085de4504807458eed05521dfe051bd72009d
sec_rules,real-027,0,"The Securities and Exchange Commission approved standardized rules requiring public registrants to provide disclosures regarding material climate-related financial impacts, greenhouse gas emissions data, and governance oversight in annual reports and registration filings.",Securities Commission Finalizes Climate-Related Risk Disclosure Requirements,"Securities Commission Finalizes Climate-Related Risk Disclosure Requirements
The Securities and Exchange Commission approved standardized rules requiring public registrants to provide disclosures regarding material climate-related financial impacts, greenhouse gas emissions data, and governance oversight in annual reports and registration filings.",e79a2c9cb2001e90ddbbd21832050a3f418928ba3ad8977158e8306d5511c570
viral_fabrication,fake-005,1,"Explosive undercover footage has confirmed what millions suspected: the famous tech billionaire who appeared at yesterday's press conference is actually a synthetic genetic clone manufactured in an underground biological laboratory. Forensics experts analyzed video footage and detected abnormal earlobe shapes, lack of blinking, and artificial voice glitching that prove the real billionaire was replaced.",Celebrity CEO Cloned by Secret Global Cabal After Sudden Disappearance,"Celebrity CEO Cloned by Secret Global Cabal After Sudden Disappearance
Explosive undercover footage has confirmed what millions suspected: the famous tech billionaire who appeared at yesterday's press conference is actually a synthetic genetic clone manufactured in an underground biological laboratory. Forensics experts analyzed video footage and detected abnormal earlobe shapes, lack of blinking, and artificial voice glitching that prove the real billionaire was replaced.",e0d12ed31f9bbceaafe57e04ccf495fe1220286629115645ea25012e391b84bf
conspiracy_watch,fake-001,1,Bombshell revelation! Whistleblowers have leaked top secret military documents proving that government agencies have been dumping millions of microscopic tracking nanobots into municipal water reservoirs across the country. These invisible electronic microchips reportedly attach directly to human brain stems to broadcast cognitive brainwaves via classified satellite towers. Mainstream media is completely blacking out this terrifying disclosure.,Secret Deep State Microchips Discovered in Public Drinking Water Supplies,"Secret Deep State Microchips Discovered in Public Drinking Water Supplies
Bombshell revelation! Whistleblowers have leaked top secret military documents proving that government agencies have been dumping millions of microscopic tracking nanobots into municipal water reservoirs across the country. These invisible electronic microchips reportedly attach directly to human brain stems to broadcast cognitive brainwaves via classified satellite towers. Mainstream media is completely blacking out this terrifying disclosure.",fdfd66f718ac4ba2312b2ea6a48afde7f6dc3daff39365c70ff75d61a233983f
geology_hoax,fake-022,1,"Geophysicists excavating in northern Chad revealed satellite scans proving an enormous underground freshwater ocean exists beneath the sand dunes. Secret drilling operations allegedly breached the cavern roof, creating a catastrophic subterranean whirlpool that will drain the Mediterranean Sea within thirty days.",Subterranean Ocean Discovered Beneath Sahara Threatens to Drain Northern Hemisphere,"Subterranean Ocean Discovered Beneath Sahara Threatens to Drain Northern Hemisphere
Geophysicists excavating in northern Chad revealed satellite scans proving an enormous underground freshwater ocean exists beneath the sand dunes. Secret drilling operations allegedly breached the cavern roof, creating a catastrophic subterranean whirlpool that will drain the Mediterranean Sea within thirty days.",e0f01a9e1ff001a6d2e8349eb17b542a3419e17e95a44ffe823308ace862cba7
polar_science,real-014,0,"Scientists collaborating at the National Snow and Ice Data Center reported that Antarctic sea ice reached its annual minimum extent of 2.1 million square kilometers. While slightly above the record lows documented in the preceding year, the measurement remains significantly below the 1981-2010 climatological median.",Antarctic Research Station Measures Annual Sea Ice Minimum Extent,"Antarctic Research Station Measures Annual Sea Ice Minimum Extent
Scientists collaborating at the National Snow and Ice Data Center reported that Antarctic sea ice reached its annual minimum extent of 2.1 million square kilometers. While slightly above the record lows documented in the preceding year, the measurement remains significantly below the 1981-2010 climatological median.",49a9a090ee25be2771a4d83aa35d953d65e4203ad74349b7b763c9c47c6a744b
ai_treaty_hoax,fake-029,1,Diplomatic cables obtained by legal researchers reveal that ninety nations ratified a classified multilateral compact transferring judicial sentencing and criminal case adjudication to an autonomous algorithmic supercomputer managed by multinational investment banks.,Secret Treaty Surrenders Judicial Court Authority to Global Artificial Intelligence System,"Secret Treaty Surrenders Judicial Court Authority to Global Artificial Intelligence System
Diplomatic cables obtained by legal researchers reveal that ninety nations ratified a classified multilateral compact transferring judicial sentencing and criminal case adjudication to an autonomous algorithmic supercomputer managed by multinational investment banks.",7ab2992d920579f16c53a9ecafce352b477ca50cbab11eb947143861e39442ca
usda_bulletin,real-013,0,The World Agricultural Supply and Demand Estimates report projected global wheat output at 788 million metric tons for the upcoming crop year. Higher harvested area in North America and favorable growing conditions in parts of Eastern Europe are expected to offset drought-related yield reductions in the Southern Hemisphere.,Agricultural Department Forecasts Stable Global Wheat Production,"Agricultural Department Forecasts Stable Global Wheat Production
The World Agricultural Supply and Demand Estimates report projected global wheat output at 788 million metric tons for the upcoming crop year. Higher harvested area in North America and favorable growing conditions in parts of Eastern Europe are expected to offset drought-related yield reductions in the Southern Hemisphere.",e3036acbd120ac13a00495d2a2724a35b18c7a2ba394a9449d28d925f9c46a33
tech_hoax,fake-006,1,"An anonymous defense contractor has blown the whistle on a global conspiracy to activate pulsed millimeter-wave electromagnetic frequencies through commercial 5G cellular antennas. According to leaked memos, the radiation interacts with synthetic graphene particles injected into civilians, forcing uncontrollable obedience, extreme fatigue, and telepathic voice transmission into victims' skulls.",5G Cell Towers Weaponized to Trigger Global Mind Control Frequencies,"5G Cell Towers Weaponized to Trigger Global Mind Control Frequencies
An anonymous defense contractor has blown the whistle on a global conspiracy to activate pulsed millimeter-wave electromagnetic frequencies through commercial 5G cellular antennas. According to leaked memos, the radiation interacts with synthetic graphene particles injected into civilians, forcing uncontrollable obedience, extreme fatigue, and telepathic voice transmission into victims' skulls.",51bff35990b441c29f182561d14b70b5452be6c2be11b624734a08d8fc7dc4d1
geo_hoax,fake-015,1,Billionaires and shadowy world leaders met in a nuclear submarine stationed in the Mariana Trench to finalize a five-hundred-billion-dollar solar geoengineering project that will spray millions of tons of reflective chalk powder into the stratosphere. The deliberate sunlight blockage will trigger permanent global winter to wipe out ninety percent of small family farms.,Global Elite Meeting in Submarine Bunker Approves Plan to Dim the Sun,"Global Elite Meeting in Submarine Bunker Approves Plan to Dim the Sun
Billionaires and shadowy world leaders met in a nuclear submarine stationed in the Mariana Trench to finalize a five-hundred-billion-dollar solar geoengineering project that will spray millions of tons of reflective chalk powder into the stratosphere. The deliberate sunlight blockage will trigger permanent global winter to wipe out ninety percent of small family farms.",2cfc9566924dea0246f27445152e7dd94cecebfe5ca3f55ffab7bf402336e1f7
